Label,Comment,Encoding,PcNext,IME,RegRead1Sel,RegRead2Sel,RegWriteSel,RegOp,IncOp,IncReg,AluOp,AluSelA,AluSelB,AluFlagSet,MemEn,MemWr,MemAddrSel,MicroBranch,NextState
NOP,,00000000,-,=,-,-,-,None,-,-,-,-,-,No,-,-,-,Fetch,-
_INVALID,,,Same,=,-,-,-,None,No,-,-,-,-,No,No,-,-,Jump,_INVALID
HALT,,01110110,Same,=,-,-,-,None,No,-,-,-,-,No,No,-,-,Jump,HALT
STOP,,00010000,IncOut,=,-,-,-,None,Inc,PC,-,-,-,No,No,-,-,Next,-
#STOP_loop,,,Same,=,-,-,-,None,No,-,-,-,-,No,No,-,-,Jump,#STOP_loop
"LD r, (HL)",,01???110,Same,=,-,-,Reg8Dest,WriteMem,No,HL,-,-,-,No,Yes,No,Incrementer,Jump,NOP
"LD (HL), r",,01110???,Same,=,-,Reg8Src,-,None,No,HL,CopyB,-,Reg2,No,Yes,Yes,Incrementer,Jump,NOP
"LD (HL),n",,00110110,IncOut,=,-,-,W,WriteMem,Inc,PC,-,-,-,No,Yes,No,Incrementer,Next,-
,,,Same,=,-,W,-,None,No,HL,CopyB,-,Reg2,No,Yes,Yes,Incrementer,Jump,NOP
"LD r,r",,01??????,-,=,-,Reg8Src,Reg8Dest,WriteAlu,-,-,CopyB,-,Reg2,No,-,-,-,Fetch,-
"LD r,n",,00???110,IncOut,=,-,-,Reg8Dest,WriteMem,Inc,PC,-,-,-,No,Yes,No,Incrementer,Jump,NOP
"LD rr,nn",,00??0001,IncOut,=,-,-,Reg16Lo,WriteMem,Inc,PC,-,-,-,No,Yes,No,Incrementer,Next,-
,,,IncOut,=,-,-,Reg16Hi,WriteMem,Inc,PC,-,-,-,No,Yes,No,Incrementer,Jump,NOP
"ldi (HL),A",,00100010,Same,=,-,-,-,None,Inc,HL,CopyA,A,-,No,Yes,Yes,Incrementer,Jump,NOP
"ldi A,(HL)",,00101010,Same,=,-,-,A,WriteMem,Inc,HL,-,-,-,No,Yes,No,Incrementer,Jump,NOP
"ldd (HL),A",,00110010,Same,=,-,-,-,None,Dec,HL,CopyA,A,-,No,Yes,Yes,Incrementer,Jump,NOP
"ldd A,(HL)",,00111010,Same,=,-,-,A,WriteMem,Dec,HL,-,-,-,No,Yes,No,Incrementer,Jump,NOP
"ALU A, n",,11???110,IncOut,=,-,-,W,WriteMem,Inc,PC,-,-,-,No,Yes,No,Incrementer,Next,-
,,,-,=,-,W,A,WriteAlu,-,-,InstAlu,A,Reg2,All,-,-,-,Fetch,-
"ALU A, (HL)",,10???110,Same,=,-,-,W,WriteMem,No,HL,-,-,-,No,Yes,No,Incrementer,Next,-
,,,-,=,-,W,A,WriteAlu,-,-,InstAlu,A,Reg2,All,-,-,-,Fetch,-
"ALU A, r",,10??????,-,=,-,Reg8Src,A,WriteAlu,-,-,InstAlu,A,Reg2,All,-,-,-,Fetch,-
JP nn,little endian address,11000011,IncOut,=,-,-,Z,WriteMem,Inc,PC,-,-,-,No,Yes,No,Incrementer,Next,-
,,,IncOut,=,-,-,W,WriteMem,Inc,PC,-,-,-,No,Yes,No,Incrementer,Next,-
#PC=WZ,,,IncOut,=,-,-,-,None,No,WZ,-,-,-,No,No,-,-,Jump,NOP
JP HL,,11101001,IncOut,=,-,-,-,None,IncNoWrite,HL,-,-,-,No,-,-,Incrementer,Fetch*,-
"JP f,nn",Conditional,110??010,IncOut,=,-,-,Z,WriteMem,Inc,PC,-,-,-,No,Yes,No,Incrementer,Next,-
,,,IncOut,=,-,-,W,WriteMem,Inc,PC,-,-,-,No,Yes,No,Incrementer,Cond,#PC=WZ
,,,-,=,-,-,-,None,-,-,-,-,-,No,-,-,-,Fetch,-
"LD (rr), A",,00??0010,Same,=,-,-,-,None,No,Inst16,CopyA,A,-,No,Yes,Yes,Incrementer,Jump,NOP
"LD A, (rr)",,00??1010,Same,=,-,-,A,WriteMem,No,Inst16,-,-,-,No,Yes,No,Incrementer,Jump,NOP
"LD (nn), A",,11101010,IncOut,=,-,-,Z,WriteMem,Inc,PC,-,-,-,No,Yes,No,Incrementer,Next,-
,,,IncOut,=,-,-,W,WriteMem,Inc,PC,-,-,-,No,Yes,No,Incrementer,Next,-
,,,Same,=,-,-,-,None,No,WZ,CopyA,A,-,No,Yes,Yes,Incrementer,Jump,NOP
"LD A, (nn)",,11111010,IncOut,=,-,-,Z,WriteMem,Inc,PC,-,-,-,No,Yes,No,Incrementer,Next,-
,,,IncOut,=,-,-,W,WriteMem,Inc,PC,-,-,-,No,Yes,No,Incrementer,Next,-
,,,Same,=,-,-,A,WriteMem,No,WZ,-,-,-,No,Yes,No,Incrementer,Jump,NOP
"LD (FF00 + n), A",,11100000,IncOut,=,-,-,W,WriteMem,Inc,PC,-,-,-,No,Yes,No,Incrementer,Next,-
,,,Same,=,-,W,-,None,No,-,CopyA,A,-,No,Yes,Yes,High,Jump,NOP
